Store,Store_type,Store_assortment,Sales,Customers,Promos,Year,Month,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
1,3,1,128431,15899,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
1,3,1,125271,15189,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,145169,17574,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
1,3,1,118009,14382,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
1,3,1,118225,13965,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
1,3,1,113411,13567,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
1,3,1,128032,14714,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
1,3,1,118320,14230,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
1,3,1,108867,13212,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
1,3,1,114641,13960,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
1,3,1,127596,15270,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
1,3,1,145168,16842,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,115171,14127,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,111114,13125,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
2,1,1,130525,14894,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1,116878,14202,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
2,1,1,116379,14478,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1,115871,14276,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
2,1,1,138778,17690,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,125163,15315,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
2,1,1,119081,14278,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,120362,14724,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
2,1,1,128628,14833,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,150214,15854,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,165653,18291,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,160167,18041,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
3,1,1,189179,20354,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
3,1,1,172188,18995,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
3,1,1,170374,18863,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
3,1,1,170462,18748,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1,206426,21526,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
3,1,1,178302,19711,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
3,1,1,163290,18139,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
3,1,1,168277,18863,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
3,1,1,169580,18656,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,214367,22759,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
4,3,3,234713,33390,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
4,3,3,230473,32384,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
4,3,3,255514,36124,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
4,3,3,226981,32197,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
4,3,3,235284,32153,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
4,3,3,235227,31534,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
4,3,3,228096,31908,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
4,3,3,238263,34544,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
4,3,3,219550,31040,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
4,3,3,224903,32487,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
4,3,3,238938,33775,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
4,3,3,284725,37639,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
5,1,1,109442,13213,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
5,1,1,101126,12057,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
5,1,1,116860,13421,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
5,1,1,106141,13120,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
5,1,1,110292,13205,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
5,1,1,105280,12560,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
5,1,1,151892,16361,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
5,1,1,125969,14565,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
5,1,1,110338,13229,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
5,1,1,115805,13682,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
5,1,1,119567,13521,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
5,1,1,147516,14923,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
6,1,1,152265,18116,10,2013,1,1,0,0,0,0,0,0,0,0,0,0,0
6,1,1,139655,16443,10,2013,2,0,1,0,0,0,0,0,0,0,0,0,0
6,1,1,162550,18619,15,2013,3,0,0,1,0,0,0,0,0,0,0,0,0
6,1,1,154269,18422,12,2013,4,0,0,0,1,0,0,0,0,0,0,0,0
6,1,1,157972,18408,13,2013,5,0,0,0,0,1,0,0,0,0,0,0,0
6,1,1,155385,18011,10,2013,6,0,0,0,0,0,1,0,0,0,0,0,0
6,1,1,174135,19998,13,2013,7,0,0,0,0,0,0,1,0,0,0,0,0
6,1,1,159836,19093,12,2013,8,0,0,0,0,0,0,0,1,0,0,0,0
6,1,1,151382,17910,10,2013,9,0,0,0,0,0,0,0,0,1,0,0,0
6,1,1,155627,18141,10,2013,10,0,0,0,0,0,0,0,0,0,1,0,0
6,1,1,170431,18802,10,2013,11,0,0,0,0,0,0,0,0,0,0,1,0
6,1,1,173192,18765,10,2013,12,0,0,0,0,0,0,0,0,0,0,0,1
